河北省
地区,确诊,死亡,治愈
所有地区合计,311,6,230
唐山,58,1,27,
沧州,48,3,28,
石家庄,29,0,21,
张家口,34,0,28,
邯郸,32,0,27,
保定,32,0,29,
邢台,23,1,19,
廊坊,30,0,28,
秦皇岛,10,1,8,
衡水,8,0,8,
承德,7,0,7,
信息爬取时间：2020-02-24 20：49
