辽宁省
地区,确诊,死亡,治愈
所有地区合计,121,1,80
大连,19,0,11,
沈阳,28,0,22,
葫芦岛,12,1,5,
铁岭,7,0,3,
鞍山,4,0,0,
锦州,12,0,9,
盘锦,11,0,8,
朝阳,6,0,3,
阜新,8,0,6,
丹东,7,0,6,
本溪,3,0,3,
辽阳,3,0,3,
营口,1,0,1,
信息爬取时间：2020-02-24 20：49
