内蒙古自治区
地区,确诊,死亡,自愈
所有地区合计,70,0,7
包头,11,0,0,
鄂尔多斯,11,0,3,
巴彦淖尔,8,0,0,
呼和浩特,7,0,0,
赤峰,9,0,2,
通辽,6,0,0,
呼伦贝尔,6,0,1,
锡林郭勒盟,6,0,1,
乌兰察布,3,0,0,
乌海市,2,0,0,
兴安盟,1,0,0,
信息爬取时间：2020-02-16 14：23
