浙江省
地区,确诊,死亡,自愈
所有地区合计,1205,1,704
温州,504,1,268,
台州,146,0,92,
宁波,157,0,106,
杭州,169,0,121,
省十里丰监狱,36,0,0,
嘉兴,45,0,22,
绍兴,42,0,21,
金华,55,0,39,
舟山,10,0,5,
衢州,14,0,10,
湖州,10,0,6,
丽水,17,0,14,
信息爬取时间：2020-02-22 16：02
