内蒙古自治区
地区,确诊,死亡,自愈
所有地区合计,75,0,22
包头,11,0,2,
锡林郭勒盟,9,0,1,
赤峰,9,0,3,
通辽,7,0,1,
巴彦淖尔,8,0,3,
呼和浩特,7,0,2,
呼伦贝尔,7,0,2,
鄂尔多斯,11,0,7,
乌兰察布,3,0,1,
乌海市,2,0,0,
兴安盟,1,0,0,
信息爬取时间：2020-02-22 16：02
