上海市
地区,确诊,死亡,自愈
所有地区合计,335,3,227
外地来沪人员,111,1,73,
浦东新区,60,0,42,
宝山区,21,0,10,
徐汇区,18,0,10,
松江区,14,0,7,
静安区,16,0,10,
嘉定区,9,0,3,
奉贤区,9,0,3,
杨浦区,9,0,4,
闵行区,19,0,15,
普陀区,11,0,7,
长宁区,13,0,10,
黄浦区,6,0,3,
虹口区,7,0,5,
崇明区,4,0,2,
金山区,3,0,2,
青浦区,5,0,5,
待明确地区,0,2,16,
信息爬取时间：2020-02-22 16：02
